Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time,Job Title
b0b3c8356f8ed3d819d4b43e857d6947,Data Analyst,2024-01-30T15:01:26Z,https://www.dice.com/job-detail/ed30611a-bc4a-434d-b269-8ba632ad8763,"Irving, TX, USA",$DOE,Techgene Solutions LLC,"Full-time, Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T22:15:52Z,2024-01-31T11:53:43Z,Data Analyst
ba59a7c3f35688dbad04de9f8a1e41e5,Data Analyst,2024-01-30T01:06:54Z,https://www.dice.com/job-detail/0db55eea-4264-4f24-8036-62fbda843b1a,"Morrisville, NC, USA",USD32 - USD33,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:07:42Z,2024-01-31T11:53:43Z,Data Analyst
81886ee028286bbf9c16b6017e2bc022,Senior Data Analyst,2024-01-30T14:53:48Z,https://www.dice.com/job-detail/34d61037-ed6a-4f6f-9827-5e97d895eda2,"Brooklyn, NY, USA",$60 - $70,"Avenues International, Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-30T14:53:48Z,2024-01-31T11:53:43Z,Data Analyst
91b3a9d595674ff20b145c6ddc87203b,Sr. Principal Data Analyst,2024-01-29T22:07:16Z,https://www.dice.com/job-detail/7731d0f4-31ef-44ca-95a1-fd2167eb6a7f,"Lansing, MI, USA",USD65 - USD81,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:07:33Z,2024-01-31T11:53:43Z,Data Analyst
060bd4e12aece13f04f79401830594ab,Data Analyst III,2024-01-25T04:11:56Z,https://www.dice.com/job-detail/3b5b9c19-fcd9-4a84-ba2f-ae2d77a64386,"Indiana, PA, USA",,BCforward,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:10:26Z,2024-01-31T11:53:43Z,Data Analyst
f90c85f24f3ff14d35796feb3813260c,Power BI Data Analyst,2024-01-30T16:26:43Z,https://www.dice.com/job-detail/a88bf58a-9715-4cec-a775-f5e378867d83,"Austin, TX, USA",Depends on Experience,HireBlazer,Contract,FALSE,Hybrid/Onsite,2024-01-30T16:26:43Z,2024-01-31T11:53:43Z,Data Analyst
addea19d1d7f9c833f67b2bbeac2551f,Michael Page- Data Analyst/Finance Applications Support,2024-01-31T00:11:10Z,https://www.dice.com/job-detail/1ee4af8c-f38b-443f-a219-faea60b9ccd7,"New York, NY, USA",$35 - $50 per hour,Michael Page International,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:08:27Z,2024-01-31T11:53:43Z,Data Analyst
91dd6014e427c3e0918f232d20b64943,Data Analyst/Finance Applications Support,2024-01-30T17:51:05Z,https://www.dice.com/job-detail/827eea40-c5f0-4989-b0c2-41b711c9cc2b,"New York, NY, USA",Depends on Experience,Alliance Sourcing Network,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-30T17:51:49Z,2024-01-31T11:53:43Z,Data Analyst
7e07422f1eb4ec8c9f06ed6bd7a57502,Data Analyst,2024-01-30T18:09:31Z,https://www.dice.com/job-detail/555b821f-f92f-442a-ad4a-da131c0261b0,"Orlando, FL, USA",USD 28.34-28.34,Tricon Solutions,"Full-time, Part-time, Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-30T18:09:31Z,2024-01-31T11:53:43Z,Data Analyst
d75df056a65da8c92142fb22408a8c6b,Data Analyst,2024-01-30T17:31:02Z,https://www.dice.com/job-detail/84a85c85-ad5e-4904-8a91-876d2f41b2bc,"Minneapolis, MN, USA",$$45/hr,Aspired Solutions INC,Contract,FALSE,Hybrid/Onsite,2024-01-30T20:15:23Z,2024-01-31T11:53:43Z,Data Analyst
b8bff10c00fbde4aea38e62ce52fccca,Business Data Analyst,2024-01-30T18:07:52Z,https://www.dice.com/job-detail/10c0aac7-ab08-4781-8ec8-9f778cdec14e,"Boston, MA, USA",BASED ON EXPERIENCE,Convene Inc.,Contract,TRUE,Remote,2024-01-31T01:07:26Z,2024-01-31T11:53:43Z,Data Analyst
3b6ba7233964c6c6839d95758311b54b,Data Analyst,2024-01-30T20:06:43Z,https://www.dice.com/job-detail/90c9534c-8173-4ca1-b6aa-add86dfaf622,"Des Plaines, IL, USA",BASED ON EXPERIENCE,The Fountain Group,"Full-time, Contract",FALSE,Hybrid/Onsite,2024-01-31T01:06:17Z,2024-01-31T11:53:43Z,Data Analyst
c00b310e32f399916b762a5fdaeb4780,Data Analyst (Fully Remote),2024-01-30T20:01:44Z,https://www.dice.com/job-detail/3a4718cb-bffd-4e04-9d1a-d613f54a74d8,"Minneapolis, MN, USA",BASED ON EXPERIENCE,INSPYR Solutions,Contract,TRUE,Remote,2024-01-31T01:01:36Z,2024-01-31T11:53:43Z,Data Analyst
c35728529e9ba4c8c9edd0b7cd7f75d7,Data Analyst,2024-01-30T12:43:53Z,https://www.dice.com/job-detail/e40df306-4c50-4997-a8c0-cb6432fbaa2c,,$50 - $60,GTSS Inc,Contract,FALSE,Remote,2024-01-30T12:43:53Z,2024-01-31T11:53:43Z,Data Analyst
83482e915e4d6f7df55307d30b1c5682,Data Analyst,2024-01-30T20:12:24Z,https://www.dice.com/job-detail/ce62b752-99b5-43da-9dce-d839a08731fc,"Chapel Hill, NC, USA",,Dexian DISYS,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:08:18Z,2024-01-31T11:53:43Z,Data Analyst
36d8c0a0a4cb4ebc327351f1b8c3b3f5,Data Analyst - Defined Benefits,2024-01-29T21:48:27Z,https://www.dice.com/job-detail/bbc5515d-c625-4934-a022-078514cfd168,"Durham, NC, USA",Depends on Experience,SPECTRAFORCE TECHNOLOGIES Inc.,Contract,FALSE,Hybrid/Onsite,2024-01-29T21:48:27Z,2024-01-31T11:53:43Z,Data Analyst
